image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/14-202-457-01.jpg,Sapphire Tech,4.7,(124),SAPPHIRE PULSE Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11350-03-20G,11350-03-20G,$519.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-140-04.jpg,ASRock,4.7,(109),ASRock Challenger Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9060XT CL 16GO RX 9060XT,RX9060XT CL 16GO,$469.99 ,Free Shipping,$498.49
https://c1.neweggimages.com/productimage/nb300/14-932-768-19.png,GIGABYTE,4.8,(241),GIGABYTE Gaming GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N507TGAMING OC-16GD,GV-N507TGAMING OC-16GD,"$1,087.99 ",Free Shipping,"$1,271.99"
https://c1.neweggimages.com/productimage/nb300/14-932-753-03.png,GIGABYTE,4.6,(300),GIGABYTE Gaming GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card GV-N5080GAMING OC-16GD,GV-N5080GAMING OC-16GD,"$1,699.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-145-02.png,ASRock,4.6,(139),ASRock Challenger Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9070XT CL 16G,RX9070XT CL 16G,$719.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-774-01.jpg,GIGABYTE,4.3,(142),GIGABYTE Gaming GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5070GAMING OC-12GD,GV-N5070GAMING OC-12GD,$839.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-138-03.jpg,ASRock,4.5,(74),ASRock Challenger Radeon RX 9070 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card RX9070 CL 16G,RX9070 CL 16G,$649.99 ,Free Shipping,$650.00
https://c1.neweggimages.com/productimage/nb300/14-202-450-01.png,Sapphire Tech,4.5,(157),SAPPHIRE PULSE Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11348-03-20G,11348-03-20G,$789.99 ,Free Shipping,$879.99
https://c1.neweggimages.com/productimage/nb300/14-932-751-07.jpg,GIGABYTE,4.5,(235),GIGABYTE Gaming Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R9070XTGAMING OC-16GD,GV-R9070XTGAMING OC-16GD,$810.00 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-131-07.jpg,ASRock,4.2,(51),ASRock Challenger Arc B580 12GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card B580 CL 12GO,B580 CL 12GO,$309.99 ,Free Shipping,$310.00
https://c1.neweggimages.com/productimage/nb300/14-930-093-V03.jpg,ASRock,4.6,(75),ASRock Challenger Radeon RX 7600 8GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card RX7600 CL 8GO,RX7600 CL 8GO,$299.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-771-02.jpg,GIGABYTE,4.8,(241),GIGABYTE WindForce GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N507TWF3OC-16GD,GV-N507TWF3OC-16GD,"$1,169.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-827-12.jpg,GIGABYTE,4.5,(235),GIGABYTE Gaming Radeon RX 9070 GRE 12GB GDDR6 PCI Express 5.0 ATX Graphics Card GV-R907GREGAMING OC-12GD,GV-R907GREGAMING OC-12GD,$534.99 ,Free Shipping,$567.49
https://c1.neweggimages.com/productimage/nb300/14-137-965-12.jpg,MSI,4.6,(166),MSI Ventus GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 x 16 (use x8) ATX Graphics Card RTX 5060 Ti 8G VENTUS 2X OC PLUS,RTX 5060 Ti 8G VENTUS 2X OC PLUS,$509.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-202-448-01.png,Sapphire Tech,4.5,(158),SAPPHIRE NITRO+ Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11348-01-20G,11348-01-20G,$849.99 ,Free Shipping,$949.99
https://c1.neweggimages.com/productimage/nb300/AD2CS2603310UEZ4L2E.jpg,XFX,5,(1),"XFX Quicksilver AMD Radeon RX 9070 XT Gaming Edition with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4 RX-97TQICKBA",RX-97TQICKBA,$729.99 ,Free Shipping,$788.49
https://c1.neweggimages.com/productimage/nb300/14-982-011-22.jpg,MSI,4.6,(393),MSI FRIEREN EDITION GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Video Card RTX 5070 Ti 16G FRIEREN EDITION OC,RTX 5070 Ti 16G FRIEREN EDITION OC,"$1,149.99 ",Free Shipping,"$1,299.99"
https://c1.neweggimages.com/productimage/nb300/14-930-084-06.jpg,ASRock,4.3,(354),ASRock Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 Video Card RX7900XTX 24G - OEM,RADEON RX7900XTX 24G,"$1,029.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-987-002-01.png,,4.5,(152),ONIX LUMI Arc B580 12GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card 8346-00278,8346-00278,$309.99 ,Free Shipping,$328.99
https://c1.neweggimages.com/productimage/nb300/14-137-957-06.jpg,MSI,4.6,(166),MSI Ventus GeForce RTX 5060 Ti 16GB GDDR7 PCI Express 5.0 x 16 (use x8) ATX Graphics Card RTX 5060 Ti 16G VENTUS 3X OC,RTX 5060 Ti 16G VENTUS 3X OC,$799.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-754-05.png,GIGABYTE,4.6,(300),GIGABYTE WINDFORCE GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card GV-N5080WF3OC-16GD,GV-N5080WF3OC-16GD,"$1,599.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-993-03.jpg,MSI,4.6,(393),MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 TI 16G VENTUS 3X OC BLACK,RTX 5070 Ti 16G VENTUS 3X OC BLACK,"$1,199.99 ",,
https://c1.neweggimages.com/productimage/nb300/14-150-910-01.jpg,XFX,4.7,(27),"XFX Swift AMD Radeon RX 9060 XT OC Gaming Edition with 16GB GDDR6 HDMI 2xDP, AMD RDNA 4",RX-96TSW16BQ,$499.99 ,Free Shipping,
